episode,game_status,total_reward,turns,agent_stars,agent_cards_left,opponents_alive
163,eliminated,-2300.0,30,0,1,10
164,eliminated,-2100.0,42,2,0,9
165,eliminated,-2100.0,28,2,0,9
166,eliminated,-2300.0,38,0,1,10
167,eliminated,-2300.0,45,0,0,9
168,victory,2200.0,31,5,0,10
169,victory,2200.0,222,5,0,5
170,eliminated,-2300.0,19,0,0,9
171,eliminated,-2300.0,24,0,6,10
172,victory,2200.0,39,5,0,9
173,victory,2100.0,20,4,0,10
174,eliminated,-2300.0,21,0,3,10
175,eliminated,-2100.0,48,2,0,10
176,eliminated,-2300.0,42,0,2,10
177,victory,2000.0,50,3,0,8
178,eliminated,-2300.0,10,0,4,10
179,victory,2700.0,49,10,0,8
180,victory,2100.0,48,4,0,9
181,eliminated,-2300.0,19,0,6,10
182,victory,2300.0,56,6,0,9
183,eliminated,-2300.0,6,0,6,10
184,eliminated,-2300.0,29,0,3,9
185,victory,2200.0,30,5,0,9
186,victory,2400.0,25,7,0,8
187,eliminated,-2200.0,35,1,0,10
188,eliminated,-2300.0,41,0,3,10
189,victory,2000.0,23,3,0,10
190,victory,2000.0,62,3,0,9
191,eliminated,-2300.0,33,0,1,9
192,victory,2500.0,32,8,0,8
193,victory,2200.0,23,5,0,10
194,eliminated,-2300.0,27,0,3,10
195,eliminated,-2100.0,37,2,0,9
196,eliminated,-2300.0,49,0,2,10
197,eliminated,-2100.0,28,2,0,9
198,eliminated,-2300.0,13,0,5,10
199,victory,2400.0,39,7,0,8
200,eliminated,-2300.0,44,0,0,9
201,victory,2100.0,58,4,0,10
202,victory,2000.0,34,3,0,8
203,victory,2300.0,72,6,0,8
204,eliminated,-2200.0,32,1,0,9
205,victory,2100.0,101,4,0,10
206,victory,2000.0,60,3,0,7
207,eliminated,-2300.0,29,0,0,10
208,victory,2200.0,31,5,0,9
209,eliminated,-2100.0,27,2,0,10
210,eliminated,-2300.0,14,0,4,10
211,eliminated,-2100.0,43,2,0,10
212,eliminated,-2300.0,36,0,0,10
213,victory,2200.0,33,5,0,9
214,victory,2100.0,32,4,0,10
215,victory,2200.0,32,5,0,9
216,victory,2200.0,59,5,0,7
217,victory,2300.0,38,6,0,7
218,victory,2400.0,45,7,0,9
219,eliminated,-2100.0,52,2,0,10
220,victory,2300.0,55,6,0,9
221,eliminated,-2300.0,13,0,4,10
222,eliminated,-2300.0,61,0,2,8
223,eliminated,-2300.0,61,0,1,9
224,victory,2000.0,66,3,0,9
225,eliminated,-2100.0,44,2,0,9
226,victory,2100.0,36,4,0,9
227,eliminated,-2100.0,34,2,0,9
228,victory,2000.0,42,3,0,9
229,victory,2100.0,51,4,0,10
230,victory,2300.0,43,6,0,8
231,eliminated,-2100.0,40,2,0,8
232,eliminated,-2200.0,82,1,0,7
233,victory,2000.0,31,3,0,10
234,victory,2000.0,43,3,0,9
235,victory,2000.0,52,3,0,9
236,eliminated,-2200.0,45,1,0,9
237,victory,2200.0,50,5,0,9
238,victory,2000.0,38,3,0,8
239,eliminated,-2300.0,43,0,0,9
240,eliminated,-2300.0,29,0,3,9
241,eliminated,-2300.0,17,0,5,10
242,eliminated,-2300.0,25,0,1,10
243,victory,2100.0,185,4,0,8
244,victory,2200.0,36,5,0,9
245,victory,2200.0,56,5,0,9
246,victory,2000.0,67,3,0,10
247,victory,2300.0,36,6,0,9
248,eliminated,-2200.0,47,1,0,8
249,victory,2200.0,88,5,0,8
250,eliminated,-2300.0,21,0,3,10
251,eliminated,-2100.0,28,2,0,10
252,victory,2400.0,28,7,0,9
253,victory,2100.0,32,4,0,10
254,victory,2300.0,40,6,0,9
255,eliminated,-2200.0,25,1,0,9
256,eliminated,-2300.0,22,0,0,9
