episode,game_status,total_reward,turns,agent_stars,agent_cards_left,opponents_alive
0,eliminated,-2200.0,15,1,0,7
1,victory,2100.0,13,4,0,9
2,victory,2300.0,18,6,0,8
3,victory,2400.0,33,7,0,6
4,victory,2200.0,12,5,0,10
5,victory,2400.0,94,7,0,2
6,victory,2100.0,19,4,0,8
7,victory,2100.0,47,4,0,6
8,victory,2200.0,35,5,0,6
9,victory,2300.0,29,6,0,4
10,eliminated,-2100.0,94,2,0,2
11,victory,2000.0,10,3,0,10
12,victory,2100.0,28,4,0,5
13,eliminated,-2200.0,30,1,0,5
14,victory,2500.0,18,8,0,9
15,victory,2000.0,20,3,0,7
16,victory,2000.0,37,3,0,4
17,victory,2200.0,22,5,0,10
18,eliminated,-2300.0,36,0,2,5
19,victory,2000.0,32,3,0,4
20,victory,2700.0,124,10,0,0
21,eliminated,-2300.0,20,0,5,9
22,victory,2500.0,14,8,0,10
23,victory,2000.0,18,3,0,6
24,victory,2600.0,23,9,0,6
25,eliminated,-2300.0,302,0,3,1
26,eliminated,-2100.0,29,2,0,9
27,victory,2100.0,17,4,0,6
28,victory,2100.0,61,4,0,3
29,victory,2000.0,16,3,0,9
30,victory,2200.0,28,5,0,7
31,eliminated,-2300.0,11,0,1,10
32,victory,2400.0,27,7,0,6
33,eliminated,-2300.0,20,0,1,8
34,eliminated,-2100.0,30,2,0,5
35,victory,2300.0,28,6,0,7
36,victory,2100.0,46,4,0,5
37,eliminated,-2300.0,13,0,3,9
38,victory,2000.0,13,3,0,9
39,victory,2000.0,51,3,0,4
40,eliminated,-2300.0,5,0,6,10
41,victory,2200.0,30,5,0,7
42,victory,2400.0,67,7,0,3
43,victory,2000.0,14,3,0,9
44,victory,2000.0,37,3,0,7
45,eliminated,-2300.0,2,0,6,10
46,eliminated,-2200.0,44,1,0,6
47,victory,2100.0,13,4,0,8
48,victory,2000.0,19,3,0,9
49,eliminated,-2300.0,16,0,1,9
50,victory,2100.0,34,4,0,5
51,victory,2300.0,54,6,0,2
52,victory,2500.0,25,8,0,8
53,eliminated,-2300.0,3,0,6,10
54,victory,2400.0,11,7,0,9
55,eliminated,-2300.0,2,0,6,10
56,eliminated,-2200.0,48,1,0,5
57,victory,2400.0,58,7,0,3
58,victory,2000.0,33,3,0,3
59,victory,2200.0,17,5,0,9
60,eliminated,-2300.0,17,0,6,8
61,victory,2000.0,136,3,0,2
62,eliminated,-2300.0,7,0,3,10
63,eliminated,-2300.0,4,0,5,10
64,eliminated,-2300.0,3,0,5,10
65,victory,2000.0,22,3,0,9
66,eliminated,-2200.0,17,1,0,8
67,eliminated,-2100.0,33,2,0,7
68,victory,2400.0,31,7,0,6
